Iso3_code,Region,Subregion,Country,Dimension,Category,Sex,Age,Year,Counts
WORLD,World,World,World,Total,Total,Total,Total,2016,451035.632884196
WORLD,World,World,World,Total,Total,Total,Total,2017,450654.763354182
WORLD,World,World,World,Total,Total,Total,Total,2014,449003.525326353
WORLD,World,World,World,Total,Total,Total,Total,2012,445352.838820363
WORLD,World,World,World,Total,Total,Total,Total,2013,444117.311804986
WORLD,World,World,World,Total,Total,Total,Total,2015,442446.770400809
WORLD,World,World,World,Total,Total,Total,Total,2002,442420.839721929
WORLD,World,World,World,Total,Total,Total,Total,2001,439027.768102836
WORLD,World,World,World,Total,Total,Total,Total,2011,438010.111947284
WORLD,World,World,World,Total,Total,Total,Total,2018,436960.64954409
WORLD,World,World,World,Total,Total,Total,Total,2003,436448.193049604
WORLD,World,World,World,Total,Total,Total,Total,2021,434792.421414609
WORLD,World,World,World,Total,Total,Total,Total,2010,427702.111620628
WORLD,World,World,World,Total,Total,Total,Total,2000,427648.691007416
WORLD,World,World,World,Total,Total,Total,Total,2004,427595.534539158
WORLD,World,World,World,Total,Total,Total,Total,2009,423958.334788566
WORLD,World,World,World,Total,Total,Total,Total,2022,423810.510134503
WORLD,World,World,World,Total,Total,Total,Total,2019,421538.134390333
WORLD,World,World,World,Total,Total,Total,Total,2005,419321.230098426
WORLD,World,World,World,Total,Total,Total,Total,2006,416773.950366912
WORLD,World,World,World,Total,Total,Total,Total,2020,416178.556949277
WORLD,World,World,World,Total,Total,Total,Total,2008,415413.324532048
WORLD,World,World,World,Total,Total,Total,Total,2007,410443.563896088
WORLD,World,World,World,Total,Total,Male,Total,2016,366887.842512384
WORLD,World,World,World,Total,Total,Male,Total,2017,366858.055457338
WORLD,World,World,World,Total,Total,Male,Total,2014,364109.210618474
WORLD,World,World,World,Total,Total,Male,Total,2012,360860.619517323
WORLD,World,World,World,Total,Total,Male,Total,2015,360068.592387135
WORLD,World,World,World,Total,Total,Male,Total,2013,359970.016026146
WORLD,World,World,World,Total,Total,Male,Total,2002,356512.175139298
WORLD,World,World,World,Total,Total,Male,Total,2018,354913.439560707
WORLD,World,World,World,Total,Total,Male,Total,2011,354418.656284022
WORLD,World,World,World,Total,Total,Male,Total,2001,352526.192222732
WORLD,World,World,World,Total,Total,Male,Total,2003,352017.994079342
WORLD,World,World,World,Total,Total,Male,Total,2021,350852.887000358
WORLD,World,World,World,Total,Total,Male,Total,2010,345843.505277051
WORLD,World,World,World,Total,Total,Male,Total,2004,343209.248861362
WORLD,World,World,World,Total,Total,Male,Total,2000,343071.529017494
WORLD,World,World,World,Total,Total,Male,Total,2009,341786.475664612
WORLD,World,World,World,Total,Total,Male,Total,2019,341116.324344344
WORLD,World,World,World,Total,Total,Male,Total,2022,339889.301457042
WORLD,World,World,World,Total,Total,Male,Total,2005,337652.712894499
WORLD,World,World,World,Total,Total,Male,Total,2008,337124.892016306
WORLD,World,World,World,Total,Total,Male,Total,2006,336923.174276036
WORLD,World,World,World,Total,Total,Male,Total,2020,336491.429116658
WORLD,World,World,World,Total,Total,Male,Total,2007,331028.399102878
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2017,169878.331291813
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2016,165571.816427754
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2018,164366.367005788
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2012,162491.867461413
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2011,159695.570694086
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2013,159178.967244936
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2022,158346.172102576
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2014,158159.85816436
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2017,157470.285432345
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2021,157018.417726393
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2015,156991.636085605
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2010,156116.998809114
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2016,155195.485081051
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2018,154761.762281782
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2019,154703.111152042
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2022,154141.65496744
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2020,153916.019971814
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2021,152910.313725152
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2019,152797.512007325
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2009,151848.344950251
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2015,151682.951176576
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2017,151569.415943334
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2020,150125.129508207
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2014,149187.420062771
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2016,148259.161913868
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2018,146571.188262874
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2012,145523.645620154
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2013,143945.637488793
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2008,143778.153126645
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2011,142925.595560849
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2013,142608.491360334
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2014,141735.385572684
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2003,140859.351773126
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2002,140763.418815522
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2015,140710.599703008
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2012,140022.701903929
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2010,139875.148374166
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2001,138777.405121109
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2020,136934.99696237
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2022,136122.287226545
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2006,136035.116178752
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2009,135970.32276077
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2019,135937.660979881
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2011,135919.105499027
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2021,134995.955104003
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2007,133847.86356368
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2004,133445.134469766
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2005,132470.353534956
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2010,131768.906558752
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2017,131274.827204922
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Total,Total,2000,130698.729774463
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2009,129600.538457403
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2008,129138.424412837
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2016,129136.56916147
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2022,129077.657472006
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2021,128986.51244232
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2019,128817.788655221
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2018,128748.690098803
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2008,127859.698878414
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2015,126118.301439729
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2003,125887.602882974
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Total,Total,2000,125740.006835898
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2002,125518.192253341
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2007,125169.476553775
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2014,124371.697319858
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Total,Total,2001,124354.389651971
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Total,Total,2006,123964.901293627
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Male,Total,2020,123855.816600507
BIG5_AMER,Americas,Americas,All Americas,Total,Total,Male,Total,2001,123438.812814799
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Total,Total,2002,122672.011890168
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Total,Total,2004,122187.103505201
