Country,Region,Male_rate,Female_rate,Gap_MaleMinusFemale
Jamaica,Americas,91.19,8.29,82.9
Ecuador,Americas,84.51,6.66,77.85
Haiti,Americas,74.22,8.73,65.48
Honduras,Americas,54.78,7.66,47.12
Mexico,Americas,44.88,5.6,39.29
Costa Rica,Americas,33.09,2.75,30.34
Puerto Rico,Americas,27.69,2.39,25.3
Bermuda,Americas,12.63,0.0,12.63
Mongolia,Asia,10.05,1.8,8.24
United States of America,Americas,8.94,2.55,6.39
